h,0,c,O,T,t,h,Q,I,7,M
_,3,a,r,I,v,q,0,7,J,0
n,8,j,Z,z,1,n,0,x,f,Q
8,v,o,C,K,7,w,u,2,D,s
D,E,D,q,s,E,j,h,Q,Y,k
o,7,A,_,c,M,p,K,m,6,w
Q,q,g,B,e,8,H,X,f,m,Y
H,V,X,4,e,2,X,G,M,z,A
S,W,g,y,Q,_,C,B,7,c,U
9,M,3,p,r,A,x,4,p,L,Q
q,_,7,O,T,9,e,P,3,u,s
r,Z,o,T,Y,e,_,y,o,V,8
x,_,b,t,e,O,Q,Y,A,t,Q
F,S,m,W,-,r,y,D,-,N,E
V,6,O,J,n,x,G,u,2,1,I
l,k,J,y,P,P,k,D,2,_,U
0,e,H,G,E,f,f,Y,E,N,w
-,J,0,o,K,F,L,1,c,k,0
5,p,m,u,Y,O,Y,d,c,B,4
l,m,8,P,W,7,a,u,Z,0,g
U,Z,L,b,u,b,w,Q,T,K,k
Z,h,O,6,0,j,7,X,s,Q,c
m,K,O,t,2,0,6,O,1,c,g
m,B,c,x,4,1,a,4,q,b,s
d,h,N,4,t,C,_,M,3,c,Y
U,-,P,j,-,m,Z,6,5,6,Y
H,M,g,4,P,M,j,_,-,e,I
i,8,k,N,O,1,0,6,O,3,s
H,h,Y,e,C,2,R,J,v,X,M
K,L,S,g,H,m,n,R,l,H,w
e,n,z,6,o,_,T,w,B,c,0
R,J,y,p,B,9,t,i,H,H,s
M,v,q,7,n,M,h,e,0,f,0
5,c,G,m,R,o,k,B,S,0,k
Y,o,R,z,G,v,g,1,X,B,g
E,g,R,V,3,4,2,k,P,s,E
E,f,L,j,U,W,k,7,L,g,Q
M,m,N,x,s,u,7,H,P,C,8
E,b,2,z,R,C,C,V,h,y,Y
D,x,z,M,p,N,o,Z,O,L,0
n,C,E,S,B,s,h,w,G,j,0
o,T,X,M,J,H,B,B,F,A,w
f,5,L,o,5,v,b,Z,h,b,E
g,-,6,G,K,4,A,A,O,W,8
g,j,1,X,x,7,g,Q,N,-,0
A,E,M,v,d,k,h,7,z,O,g
_,Q,y,1,Y,D,Q,I,G,U,M
O,N,j,g,I,m,P,_,C,Z,U
x,m,o,T,e,b,Y,F,9,0,w
w,Q,S,Y,d,A,X,_,9,J,Y
P,D,n,l,D,I,-,V,P,w,A
o,d,e,q,6,D,R,V,q,P,0
2,M,a,g,D,h,N,s,6,5,U
-,j,x,m,B,y,U,W,q,B,I
I,d,x,B,N,T,2,u,g,B,M
-,G,X,G,V,q,V,l,M,_,E
k,1,a,2,E,u,Q,W,V,R,0
n,I,T,S,r,9,W,9,E,G,g
u,1,A,Q,5,E,X,c,J,Y,c
9,0,I,p,J,Q,t,4,x,L,c
s,z,S,N,K,P,r,d,u,e,w
V,t,R,7,s,3,6,g,Q,V,s
u,M,J,D,j,h,e,U,H,a,U
O,j,7,9,O,q,m,a,D,x,M
k,1,X,y,v,B,1,f,u,y,A
z,-,0,R,S,q,C,I,U,t,k
a,5,b,4,Q,N,M,E,f,p,0
4,z,W,x,m,A,h,T,f,v,8
b,7,O,k,9,Z,G,E,A,c,E
Y,8,5,N,V,H,o,_,V,b,s
h,M,h,w,n,I,g,8,B,O,4
T,5,k,l,k,4,Z,E,E,s,k
J,S,F,W,u,x,n,R,v,F,s
R,2,Z,E,T,F,5,1,5,E,c
T,Z,t,q,-,A,m,d,G,3,M
X,p,L,i,Q,6,U,j,q,0,c
d,s,M,Y,l,T,T,M,K,u,8
b,-,n,Y,E,O,p,7,B,R,A
y,B,K,R,d,k,5,k,n,t,U
i,e,b,r,f,j,i,O,A,J,I
8,o,Q,Y,m,v,W,x,O,X,k
E,Q,R,Z,S,B,e,4,n,B,M
v,C,8,S,-,Y,d,q,A,I,E
k,T,3,3,z,W,R,P,x,j,k
4,O,j,2,C,R,7,K,G,i,E
R,l,O,5,C,L,K,a,i,p,k
r,7,F,D,o,8,_,N,A,p,Q
X,J,y,u,9,X,U,p,K,R,U
k,v,w,q,Z,e,v,r,1,d,I
K,U,H,r,B,G,2,M,e,-,M
a,M,U,5,A,l,w,l,a,K,E
i,g,Z,v,O,8,n,5,h,C,c
C,S,n,J,3,k,Z,x,B,q,U
t,E,h,l,n,I,t,5,r,b,U
O,a,c,Z,T,K,v,5,K,e,Q
U,O,h,g,7,x,_,Q,k,m,A
d,N,i,u,a,K,K,E,P,u,8
i,p,a,P,5,z,T,V,K,K,U
T,y,S,m,b,2,_,k,Z,j,0
r,H,J,b,L,J,K,b,L,a,4
l,x,n,W,M,9,1,m,1,w,g
3,a,6,-,k,Q,Q,-,e,w,0
f,D,x,b,J,i,K,j,R,i,0
J,c,z,M,7,g,7,I,c,T,g
I,a,3,J,R,d,s,M,1,2,Q
k,_,b,t,b,v,j,T,T,B,c
A,J,c,O,1,x,B,z,n,r,M
I,m,0,U,O,K,d,V,y,q,w
y,6,P,d,C,7,k,u,E,S,c
D,o,D,D,F,s,v,l,O,P,k
A,B,k,4,d,Y,s,l,w,B,s
q,6,g,s,I,J,J,v,b,0,c
q,Q,9,w,2,5,1,J,E,U,E
7,g,m,5,o,2,-,7,o,0,Q
V,6,p,r,h,6,Z,k,s,S,E
X,n,-,S,o,e,s,n,s,v,E
g,Y,I,p,x,G,J,w,q,E,A
f,v,5,g,9,x,w,_,j,e,k
9,6,5,f,Q,A,i,2,i,K,o
4,R,R,F,v,S,h,x,H,H,E
H,F,6,F,A,c,b,H,Z,O,g
r,x,i,C,8,Q,Q,r,D,U,E
d,k,8,B,2,e,H,j,p,x,M
v,M,H,x,0,R,h,y,R,x,U
Z,L,2,o,F,9,0,0,t,E,0
u,V,O,_,L,O,F,b,K,H,o
x,U,C,h,d,r,L,6,C,d,8
C,B,P,t,g,-,6,f,z,o,0
z,k,e,T,R,i,j,J,i,2,4
g,P,S,W,K,x,y,D,9,l,o
K,k,z,D,Q,A,e,K,c,I,U
A,6,U,K,C,9,l,q,S,i,o
c,c,m,C,W,L,D,J,j,a,E
s,3,G,6,c,L,L,l,x,U,I
5,O,9,l,v,T,3,M,7,o,g
z,E,e,5,s,B,l,v,y,4,U
r,o,U,h,v,6,S,E,p,w,4
e,D,c,q,b,N,_,t,u,u,E
K,I,4,y,H,h,6,s,U,V,g
A,S,k,T,P,K,F,P,P,0,4
i,l,D,L,J,X,u,V,2,F,8
0,n,w,R,p,M,q,H,S,W,g
v,C,o,w,y,A,P,v,G,a,A
9,M,k,7,l,j,g,s,P,X,I
w,e,l,o,j,x,v,u,T,Q,A
F,3,z,K,a,Z,l,K,a,D,Y
g,A,7,g,-,x,0,Z,J,f,I
N,I,G,O,1,f,A,p,f,O,I
q,b,W,H,u,K,q,7,B,d,I
T,f,6,a,S,U,2,R,W,r,g
m,N,v,_,c,O,T,K,q,2,4
b,6,Z,f,L,D,R,Q,x,E,4
L,f,b,b,i,k,C,P,o,H,k
O,f,0,E,d,Y,S,o,7,g,E
K,Q,z,H,4,F,S,Q,O,Q,E
y,y,R,C,i,m,k,p,N,R,w
i,a,t,3,x,0,N,v,r,m,o
n,W,c,o,G,W,x,2,W,q,4
h,O,7,F,u,T,3,g,-,N,4
7,l,j,B,j,m,V,M,T,S,k
3,Z,c,z,z,B,Q,w,L,N,c
o,7,4,z,N,E,O,b,w,c,A
G,F,w,k,m,z,D,5,7,v,Q
Q,h,h,4,p,P,g,2,X,E,o
2,E,P,N,G,N,L,A,n,i,M
-,N,q,e,A,x,c,f,S,N,M
J,A,U,n,2,C,i,L,o,2,s
t,x,q,J,G,7,U,y,I,S,E
t,v,O,z,C,M,e,0,t,-,k
C,A,g,d,0,p,T,8,7,y,U
Y,d,z,c,-,-,A,G,w,8,g
c,Y,y,G,y,a,q,F,7,l,0
w,y,V,-,W,4,G,Q,X,T,c
O,r,b,G,g,4,9,7,_,w,s
j,W,4,P,y,y,h,Y,m,x,M
J,z,G,H,R,_,P,M,s,1,c
g,z,8,3,z,v,K,S,j,9,E
Y,f,a,p,K,A,s,M,P,I,o
B,7,a,j,e,4,i,q,x,5,E
y,g,S,o,x,S,O,K,S,d,M
-,9,H,B,i,v,w,8,a,K,Q
w,E,T,X,p,J,0,d,X,1,E
8,b,C,n,J,R,V,5,f,B,I
5,o,E,c,x,M,f,w,J,n,w
P,A,J,3,Y,h,l,U,e,g,k
q,N,F,U,g,U,l,2,E,O,U
Z,S,9,o,x,V,V,d,6,3,k
_,h,m,m,8,7,E,x,0,P,Y
Y,A,r,1,s,i,O,Y,7,J,Y
0,8,3,V,j,e,b,h,z,g,I
s,E,K,Y,G,M,F,h,Y,x,8
i,e,6,l,R,K,A,d,v,u,Y
R,Q,3,B,d,i,0,F,Z,e,M
F,k,M,e,W,h,R,j,O,U,M
R,z,F,P,4,y,z,Z,z,I,I
T,w,y,R,S,7,k,6,7,C,0
p,R,D,P,i,7,l,-,N,A,4
N,j,j,y,b,y,J,5,9,L,w
U,q,w,H,J,_,A,p,4,Q,o
S,K,a,C,4,2,c,n,0,5,g
1,D,5,M,j,_,N,-,w,6,A
S,1,t,2,r,l,g,m,g,E,k
n,F,U,d,X,_,0,P,p,T,0
h,S,2,2,9,x,N,5,t,X,M
q,V,h,M,3,Z,A,R,0,T,8
Q,j,j,w,y,a,w,k,0,I,o
P,K,g,4,0,H,X,6,o,U,o
E,j,g,b,M,i,b,3,6,d,o
D,N,R,a,W,x,W,y,O,o,Y
I,0,n,G,v,A,i,a,i,l,0
d,I,H,Z,h,h,E,p,v,s,w
a,8,T,P,B,H,i,7,x,p,w
i,e,6,l,R,K,A,d,v,u,Y
R,Q,3,B,d,i,0,F,Z,e,M
K,W,L,8,H,q,k,P,c,a,8
R,z,F,P,4,y,z,Z,z,I,I
T,w,y,R,S,7,k,6,7,C,0
p,R,D,P,i,7,l,-,N,A,4
w,A,J,A,5,D,b,h,i,d,E
N,j,j,y,b,y,J,5,9,L,w
X,6,E,0,C,S,e,d,j,v,g
S,K,a,C,4,2,c,n,0,5,g
1,D,5,M,j,_,N,-,w,6,A
S,1,t,2,r,l,g,m,g,E,k
n,F,U,d,X,_,0,P,p,T,0
h,S,2,2,9,x,N,5,t,X,M
q,V,h,M,3,Z,A,R,0,T,8
B,k,Z,_,8,g,B,E,1,z,k
Q,j,j,w,y,a,w,k,0,I,o
P,K,g,4,0,H,X,6,o,U,o
E,j,g,b,M,i,b,3,6,d,o
U,f,h,Q,f,4,r,f,2,m,U
D,N,R,a,W,x,W,y,O,o,Y
I,0,n,G,v,A,i,a,i,l,0
n,Q,d,-,B,K,z,T,p,K,U
W,3,q,z,9,-,b,x,l,j,A
-,a,R,7,c,z,3,0,c,h,E
5,v,X,m,T,r,B,7,r,j,8
M,0,1,p,L,h,t,v,F,U,M
T,z,V,R,7,k,2,4,O,R,c
u,o,7,0,u,V,h,C,B,v,g
D,Q,I,D,5,t,n,L,C,N,c
M,O,d,k,G,B,Y,F,Y,z,Q
H,e,A,1,x,s,k,6,a,_,g
6,d,_,k,G,2,y,C,G,m,w
g,G,m,e,D,a,e,4,L,K,o
c,4,A,p,s,2,N,P,e,5,4
y,M,6,M,b,U,F,z,r,r,o
u,v,n,7,t,W,3,X,b,B,s
j,X,H,i,k,I,T,w,l,n,g
c,X,n,B,W,H,-,4,q,U,Y
s,4,P,o,n,p,y,s,4,R,8
b,c,8,w,u,j,J,y,l,H,c
N,D,n,j,X,d,D,x,E,h,k
-,V,c,C,P,A,X,N,g,R,U
u,x,F,I,h,0,G,j,R,z,k
i,y,F,T,8,q,X,c,O,r,M
L,w,_,o,l,z,J,A,n,j,0
C,C,V,V,s,Q,6,D,4,7,w
4,X,-,K,k,Q,e,M,M,S,Q
w,H,9,x,1,k,m,S,u,W,M
1,k,9,L,E,5,a,z,_,i,Y
J,W,u,h,Q,S,H,3,B,9,I
E,f,g,K,a,d,0,J,P,m,E
3,P,E,I,k,0,S,6,X,Z,A
a,s,9,J,R,K,e,d,7,C,s
Z,i,h,D,X,M,q,3,l,7,U
O,a,-,b,4,_,a,Y,O,x,A
5,Z,k,P,D,w,J,t,S,w,o
a,G,1,o,h,L,0,0,2,t,o
Q,z,m,h,Z,C,-,w,V,_,c
C,o,Q,2,R,6,G,u,H,2,M
n,O,m,h,e,k,E,K,s,x,8
M,-,h,A,V,x,o,3,K,2,s
H,c,y,5,y,p,s,y,Q,v,s
4,f,C,x,U,b,b,d,s,B,s
W,3,t,-,K,C,A,B,B,N,A
C,d,G,u,s,5,l,2,Y,0,0
u,O,P,9,5,2,7,y,7,h,0
Z,S,n,X,I,9,3,l,Y,-,0
T,A,N,R,R,h,d,n,c,H,c
3,d,E,M,5,r,7,a,W,Y,w
J,B,R,n,1,L,f,R,d,Y,k
4,G,S,W,E,7,a,7,g,7,g
R,w,2,H,_,D,R,z,T,j,w
B,c,Z,0,I,q,c,h,l,V,Q
Y,N,b,O,S,4,U,B,b,D,I
Z,c,G,V,Q,P,Y,K,S,i,U
F,V,2,t,M,P,3,7,y,g,s
-,k,-,V,3,E,S,H,c,f,A
h,h,6,x,T,g,u,R,n,9,o
B,A,5,t,i,_,6,r,F,r,o
e,e,b,s,V,f,-,6,1,T,g
_,q,-,e,t,W,o,t,n,W,g
8,E,0,Y,n,c,D,V,j,E,A
l,t,k,3,H,o,x,R,e,J,I
m,x,8,x,K,c,Q,M,T,R,s
t,z,3,i,u,W,L,H,q,Z,w
D,N,V,x,_,T,W,R,S,e,w
B,n,D,F,m,7,3,I,D,V,A
R,x,w,n,Z,Y,q,-,-,4,Y
l,L,P,A,U,H,d,y,j,R,I
K,B,9,R,M,V,x,b,0,V,A
y,J,c,h,H,s,A,z,d,Z,w
n,w,T,U,i,F,K,V,J,u,Q
x,g,y,k,4,4,G,_,W,G,k
H,L,N,G,0,v,6,0,J,-,E
w,B,K,L,Z,2,r,I,O,s,w
I,_,c,O,3,k,p,H,s,u,M
t,6,w,v,0,C,8,9,S,L,k
K,x,d,e,3,9,3,7,K,z,U
v,a,p,T,J,L,U,S,v,p,Q
8,p,u,c,z,i,j,C,q,_,A
f,2,m,J,r,j,J,w,A,Q,w
8,E,I,n,y,o,D,I,9,7,g
_,1,5,D,R,e,Q,K,b,t,8
Z,M,M,Z,1,Q,z,r,1,a,g
Q,4,s,_,0,p,N,Z,v,n,c
t,0,A,k,W,Y,W,f,P,E,E
M,N,M,8,3,3,K,2,2,L,M
z,P,c,l,Q,5,G,L,Q,F,M
W,n,K,Q,4,t,z,g,7,o,w
2,F,j,l,x,N,y,S,a,H,E
f,S,t,O,0,m,H,D,7,W,k
C,O,L,m,p,e,t,4,g,m,Q
7,a,g,U,P,q,Z,A,1,1,w
k,M,O,M,x,0,r,L,n,O,o
w,9,L,h,Z,y,7,_,a,v,E
x,d,n,g,_,s,8,i,d,M,E
M,C,Q,J,E,a,h,b,F,S,s
F,n,B,3,B,b,d,k,v,E,8
D,q,z,t,6,y,A,m,d,D,E
E,a,g,r,I,P,T,C,q,r,g
a,C,v,2,9,J,K,m,H,N,Y
d,e,Q,R,-,6,I,q,e,A,A
g,-,G,4,8,e,m,m,W,t,o
A,2,-,N,B,h,G,o,u,4,0
Z,e,K,S,D,y,1,5,q,-,I
s,7,O,3,o,C,W,Z,g,j,E
-,P,Y,f,f,d,G,J,w,8,Q
X,H,X,9,p,m,Q,6,m,_,s
W,5,g,4,s,P,i,1,w,d,4
q,w,1,u,B,_,q,9,U,w,0
q,O,N,h,Z,N,m,N,E,p,Y
N,Q,W,k,N,X,r,2,u,j,I
F,z,K,s,R,S,i,2,t,b,o
2,h,d,D,E,7,X,Y,r,3,0
Z,m,8,z,D,D,7,1,7,D,Y
W,P,b,E,v,i,V,r,9,p,o
q,4,W,V,B,t,v,y,X,P,o
w,T,b,r,k,0,s,u,w,b,g
9,D,n,c,Y,j,A,4,B,V,4
k,D,a,X,W,B,z,5,H,-,8
r,C,2,m,D,u,v,3,R,T,4
r,a,A,k,F,K,m,9,a,f,g
A,S,8,9,Z,J,w,T,u,N,8
9,x,e,3,B,W,P,s,B,T,U
u,3,p,W,e,_,m,A,2,_,M
E,B,P,1,9,d,L,X,x,m,U
Z,i,L,q,6,d,m,L,9,c,I
a,4,7,d,q,y,g,s,e,G,o
F,y,7,T,E,f,o,i,O,W,U
0,M,M,i,f,Q,v,u,N,0,8
p,0,p,g,r,q,-,D,X,C,Y
e,j,z,C,T,z,8,c,W,n,o
D,j,O,X,p,b,p,P,U,-,U
W,r,r,F,z,f,X,m,A,T,c
s,D,I,K,-,C,6,d,G,k,s
r,Q,j,L,n,4,l,I,o,O,4
U,U,r,d,d,q,T,9,i,_,s
f,y,R,4,M,o,9,i,6,O,o
o,f,Q,M,b,C,2,e,_,a,s
V,U,W,s,W,p,X,v,K,h,o
5,u,o,o,R,e,0,7,m,Y,M
p,Q,o,c,N,_,c,2,u,L,I
e,I,4,B,W,E,U,O,i,x,Q
P,s,p,h,W,a,t,E,T,j,k
t,K,X,8,e,7,Q,a,T,N,g
a,d,_,h,i,g,X,i,x,R,A
f,5,N,J,Q,i,Y,9,A,u,Y
q,0,E,a,J,T,O,k,V,X,w
S,T,i,1,h,a,3,r,p,2,Q
V,S,1,T,H,3,P,d,A,J,M
-,1,A,1,m,S,L,B,z,l,I
M,W,_,O,E,0,a,C,V,T,k
h,b,7,Q,3,3,y,s,C,w,I
X,4,_,A,A,8,J,i,x,b,0
8,q,q,v,y,Q,a,O,E,4,s
Q,Q,2,V,6,D,4,M,0,w,4
s,X,T,6,u,H,V,e,A,f,U
e,T,F,y,8,R,n,U,k,o,U
1,U,r,-,o,-,q,0,z,l,s
R,r,I,_,O,Z,_,H,a,T,o
A,2,b,5,g,e,l,R,C,O,k
l,P,g,9,1,U,d,p,S,N,4
a,l,s,f,1,C,r,l,M,7,U
p,K,T,Q,1,D,c,q,e,R,g
G,y,E,V,0,J,1,b,U,M,w
-,W,F,a,4,b,H,C,0,D,o
6,h,c,H,r,G,A,L,I,n,A
n,c,c,r,y,Z,O,c,r,U,g
i,X,u,4,4,F,F,G,O,p,w
K,F,i,4,8,q,7,X,3,a,c
j,D,x,b,2,1,q,I,i,l,M
M,P,O,m,X,o,P,i,6,S,4
l,M,j,O,3,G,g,4,5,p,M
P,E,f,g,e,u,q,j,G,q,k
M,U,d,3,0,u,t,Y,2,9,o
S,5,W,J,1,1,d,i,f,C,Y
K,l,V,0,f,y,D,C,3,G,c
h,b,7,Q,3,3,y,s,C,w,I
X,4,_,A,A,8,J,i,x,b,0
-,Q,Y,4,X,T,L,k,1,7,M
8,q,q,v,y,Q,a,O,E,4,s
Q,Q,2,V,6,D,4,M,0,w,4
s,X,T,6,u,H,V,e,A,f,U
e,T,F,y,8,R,n,U,k,o,U
a,b,v,Q,S,a,r,t,2,U,o
L,x,A,w,L,f,z,F,6,v,U
1,U,r,-,o,-,q,0,z,l,s
A,2,b,5,g,e,l,R,C,O,k
a,l,s,f,1,C,r,l,M,7,U
J,u,y,J,X,I,C,8,9,Z,0
-,W,F,a,4,b,H,C,0,D,o
6,h,c,H,r,G,A,L,I,n,A
n,c,c,r,y,Z,O,c,r,U,g
i,X,u,4,4,F,F,G,O,p,w
K,F,i,4,8,q,7,X,3,a,c
j,D,x,b,2,1,q,I,i,l,M
M,P,O,m,X,o,P,i,6,S,4
l,M,j,O,3,G,g,4,5,p,M
S,5,W,J,1,1,d,i,f,C,Y
K,l,V,0,f,y,D,C,3,G,c
y,N,l,R,E,2,W,m,c,Q,c
F,w,W,D,2,a,F,b,9,8,8
W,O,o,J,h,6,o,Y,A,X,E
E,m,f,r,M,K,L,w,r,3,k
s,C,O,t,J,C,c,T,A,a,4
L,w,j,C,0,7,3,Y,9,o,c
6,V,6,G,i,r,1,D,y,f,s
6,9,G,s,A,P,T,Q,Y,F,g
w,q,-,g,b,a,5,n,M,r,c
9,A,E,M,K,u,d,v,5,p,0
6,A,f,6,b,_,w,y,i,w,I
O,I,C,h,M,D,K,b,0,o,4
A,K,f,M,c,B,y,H,X,f,Q
X,S,6,y,s,D,F,T,b,L,U
A,H,2,M,q,B,U,z,X,e,I
w,u,g,9,n,5,A,t,k,8,c
_,j,x,h,Z,I,Z,I,I,N,g
8,4,N,w,n,S,l,t,H,F,o
a,u,d,6,n,5,2,d,J,C,Y
m,2,U,x,2,P,n,J,e,6,E
b,l,M,h,x,6,O,A,K,j,A
X,L,F,9,0,u,w,I,I,1,k
p,Z,_,1,r,w,W,A,e,-,A
f,b,o,a,Q,5,i,2,a,m,c
z,P,x,5,N,6,L,h,3,s,w
c,P,y,0,n,W,Y,Y,C,F,g
8,1,U,b,0,S,M,x,Z,Q,o
w,v,h,W,8,c,p,1,5,t,k
m,R,7,D,s,k,v,0,d,K,Y
o,z,l,b,e,X,r,b,_,5,A
Y,t,Z,v,t,U,W,o,-,b,w
M,1,E,s,I,u,s,Q,J,Q,M
n,j,o,s,5,7,I,J,f,-,0
_,H,x,I,3,-,D,z,P,W,U
-,5,z,e,J,y,Q,3,1,r,M
S,w,8,x,7,A,S,p,R,I,Y
4,v,z,F,e,i,K,H,1,j,Q
C,s,G,i,h,i,S,E,6,s,M
8,B,o,b,K,X,k,r,t,8,M
L,m,z,e,Y,Y,W,n,t,x,w
J,a,F,-,f,q,2,Z,n,7,I
m,p,2,5,m,A,k,G,5,h,Q
i,K,6,S,S,8,C,X,Y,Z,o
y,A,f,-,c,v,F,4,y,g,w
f,I,_,x,u,F,A,1,8,m,4
t,s,g,v,h,P,0,7,B,C,8
p,y,g,-,D,Y,m,7,b,0,A
K,x,a,C,O,H,T,0,p,m,I
Q,l,-,M,t,l,x,3,1,e,8
A,P,5,V,I,h,b,J,w,F,s
I,Y,2,j,_,G,P,I,q,R,A
