text,start,stop
"für kleine unternehmen in frage kommt
man kann sich die verluste des jahres",00:05:10.509,00:05:17.650
"2020 mit dem gewinn des jahres 1909 2009
10 verrechnen lassen",00:05:17.650,00:05:23.289
"das kann man natürlich erst dann machen
wenn die steuererklärung auch",00:05:23.289,00:05:25.689
"normalerweise erst gemacht sind quasi
nachträglich hier gibt es jetzt ein",00:05:25.689,00:05:29.080
"instrument was uns der
bundesfinanzminister auch ermöglicht hat",00:05:29.080,00:05:33.039
"sagt das kann man jetzt schon tun obwohl
die steuererklärung 2020 natürlich noch",00:05:33.039,00:05:39.520
"gar nicht gemacht sein kann aber auch
die 19 einer erklärung noch nicht",00:05:39.520,00:05:41.770
"gemacht sein kann
man kann also durch einen relativ",00:05:41.770,00:05:44.740
"unaufwendig in euren antrag beim
finanzämter mit verweis auf zu erwartete",00:05:44.740,00:05:49.449
"verluste in 2020 sich von den 2009
gezahlten steuern pauschal schon was",00:05:49.449,00:05:56.110
"rückerstatten lassen
das instrumentarium was jetzt gerade",00:05:56.110,00:05:59.740
"erst frisch ist was an läuft die
antragsformulare sind auf unserer",00:05:59.740,00:06:03.939
"homepage natürlich da können dort
heruntergeladen werden und wir rechnen",00:06:03.939,00:06:07.090
"dass weitere 110 millionen euro
hierdurch in richtung unternehmen in",00:06:07.090,00:06:12.460
"richtung bürger wieder zurückfließen
kann ich bin sehr dankbar meinen",00:06:12.460,00:06:19.360
"mitarbeiterinnen und mitarbeitern die
das ganze ermöglichen und zwar sehr",00:06:19.360,00:06:25.229
"unbürokratisch ermöglichen und bei den
finanzämtern wird momentan mit hohem",00:06:25.229,00:06:30.250
"einsatz
das ganze bearbeitet weil das natürlich",00:06:30.250,00:06:33.610
"ein erhebliches antrags volumina ist was
da insgesamt abgearbeitet werden muss",00:06:33.610,00:06:40.930
"und das läuft ja noch weiter alles mit
hochdruck und das versorgt die",00:06:40.930,00:06:44.860
"unternehmen und die betroffenen
bürgerinnen und bürger mit der",00:06:44.860,00:06:48.849
"notwendigen liquidität die sie
sicherlich alle",00:06:48.849,00:06:52.310
"im moment brauchen und das ist ein
instrument was eben zusätzlich zur",00:06:52.310,00:06:56.150
"verfügung steht zu den themen die
normalerweise in der öffentlichkeit",00:06:56.150,00:06:59.630
"immer diskutiert werden die öffentlichen
darlehen oder die zuschüsse des bundes",00:06:59.630,00:07:03.850
"und in der größenordnung ist das
ungefähr vergleichbar ich heute morgen",00:07:03.850,00:07:07.220
"die zahlen noch mal gesehen
das was wir an sächsischen dahlien herr",00:07:07.220,00:07:11.360
"ausreichend über die sap hat
mittlerweile die 600 millionen marke",00:07:11.360,00:07:14.840
"überschritten
oder sind wir mit unseren steuerlichen",00:07:14.840,00:07:19.280
"themen die insgesamt ein volumen von 530
millionen ausmachen",00:07:19.280,00:07:22.910
"in einer ähnlichen dimension unterwegs
so weit erst mal zu meinen ausführungen",00:07:22.910,00:07:30.310
"herzlichen dank und herr staatsminister
werner bitte ja vielen dank der im zuge",00:07:30.310,00:07:35.660
"der carola bedingten verordnungen und
der allgemeinverfügung der",00:07:35.660,00:07:39.610
"staatsregierung war auch ein elementares
grundrecht betroffen nämlich das",00:07:39.610,00:07:44.210
"wahlrecht so musste das innenministerium
die landesdirektion und die",00:07:44.210,00:07:48.680
"landratsämter als zuständige
rechtsaufsichtsbehörde haben 24 märz an",00:07:48.680,00:07:54.260
"weisen aufgrund der infektions
entwicklung die geplanten",00:07:54.260,00:07:58.150
"bürgermeisterwahlen im zeitraum vom 19
april bis 14 juni abzusagen und zu",00:07:58.150,00:08:05.360
"verschieben
es gab eine auflage mich diese wahlen",00:08:05.360,00:08:08.510
"sollten nicht vor dem 20
september 2020 nachgeholt werden dürfen",00:08:08.510,00:08:14.630
"heute habe ich eine gute nachricht für
alle kommunen die sich fragen ob sie im",00:08:14.630,00:08:19.850
"zuge der nun beschlossenen
weitreichenden lockerungen aller",00:08:19.850,00:08:23.810
"beschränkungen die wahlen bald nachholen
können",00:08:23.810,00:08:27.200
"die antwort ist ein klares ja mit
inkrafttreten der neuen corona",00:08:27.200,00:08:33.050
"schutzverordnung ist die alte der alte
erlass aufgehoben und die wahlen sind",00:08:33.050,00:08:38.080
"zulässig
was heißt das konkret die durchführung",00:08:38.080,00:08:42.740
"von nominierungsveranstaltung von
parteien und von wählervereinigungen",00:08:42.740,00:08:45.610
"sind zulässig
auch die notwendigen",00:08:45.610,00:08:49.310
"unterstützungsunterschriften können
wieder abgegeben werden",00:08:49.310,00:08:53.540
"eine brunnen wahl kann unter beachtung
der hygieneregeln ebenso durchgeführt",00:08:53.540,00:08:58.520
"werden
wie die damit einhergehende",00:08:58.520,00:09:01.450
"anschließende auszählung der stimmen
es muss also nicht zwingend eine",00:09:01.450,00:09:07.060
"briefwahl stattfinden jedoch sind die
gemeinden angehalten verstärkt auf die",00:09:07.060,00:09:11.560
"möglichkeit der stimmabgabe per
briefwahl aufmerksam zu machen",00:09:11.560,00:09:16.720
"und weil sein wesentliches element der
politischen meinungsbildung sind werden",00:09:16.720,00:09:21.220
"auch die wahlkampfveranstaltungen
zugelassen",00:09:21.220,00:09:24.040
"sie sind schließlich befestigte und
fester bestandteil einer wahl wann",00:09:24.040,00:09:30.100
"können die wahlen wieder stattfinden
aufgrund der veränderten sache und",00:09:30.100,00:09:34.060
"rechtslage können weil nun auch vor dem
20 september 2020 stattfinden",00:09:34.060,00:09:39.310
"das ist aber nicht zwingend aber wir
räumen den gemeinden die möglichkeit ein",00:09:39.310,00:09:45.510
"schlussendlich obliegt es natürlich den
gewählten gemeinderäten und gemeinde",00:09:45.510,00:09:49.450
"raten unverzüglich einen neuen wahltag
zu bestimmen",00:09:49.450,00:09:52.720
"hierzu müssen die gemeinderäte unter
berücksichtigung der regionalen",00:09:52.720,00:09:55.630
"gegebenheiten und der infektionszahlen
in eigener verantwortung und in",00:09:55.630,00:10:00.160
"abstimmung mit dem gesundheitsamt
entscheiden wann die durchführung da war",00:10:00.160,00:10:04.150
"insbesondere im hinblick auf die wahrung
von abstands und von hygiene regelungen",00:10:04.150,00:10:08.860
"aus infektionsschutz rechtlicher sicht
vertretbar ist insgesamt können nun 26",00:10:08.860,00:10:15.910
"kommunen im freistaat sachsen ihre
bürgermeisterwahlen zeitnah nachholen",00:10:15.910,00:10:21.460
"lassen sie mich kurz noch mal auf den
fall wolkenstein eingehen",00:10:21.460,00:10:26.500
"der hat uns ja im besonderen maße
erreicht auch viele bürger haben sich",00:10:26.500,00:10:30.640
"gefragt wann sie ihr wahlrecht wieder
ausüben können",00:10:30.640,00:10:33.940
"die bürgermeisterwahl kann dort am 21
juni 2020 stattfinden",00:10:33.940,00:10:40.410
"ich habe heute den zuständigen landkreis
erzgebirgskreis und landrat frank vogel",00:10:40.410,00:10:46.980
"darüber bereits informiert
allerdings gilt auch hier dass",00:10:46.980,00:10:52.030
"entsprechende hygiene vorschriften
zwingend eingehalten werden müssen",00:10:52.030,00:10:57.840
"dass die wahl dank der sinkenden
infektionszahlen stattfinden können ist",00:10:57.840,00:11:03.010
"ein starkes signal über das ich mich
sehr freue für unsere demokratie ich",00:11:03.010,00:11:09.040
"wünsche allen kommunen gutes gelingen
bei der vorbereitung",00:11:09.040,00:11:12.310
"und der durchführung der wahlen sage
aber auch der virus ist nach wie vor da",00:11:12.310,00:11:16.630
"wir wollen das infektionsgeschehen
weiter in schach halten und dazu braucht",00:11:16.630,00:11:21.880
"es die höhere verantwortung und die
eigenverantwortung aller beteiligten um",00:11:21.880,00:11:26.710
"die ich sie herzlich bitte dann möchte
ich die gelegenheit nutzen noch einmal",00:11:26.710,00:11:31.630
"auf das versammlungs geschehen
einzugehen",00:11:31.630,00:11:34.990
"wir haben ja ein vermehrtes versammlungs
geschehen im zusammenhang der kritik an",00:11:34.990,00:11:38.770
"den crooner maßnahmen der länder und
auch des bundes bisher ist diese protest",00:11:38.770,00:11:46.930
"auch sehr friedlich geblieben
die tendenzen dass ich das ändern können",00:11:46.930,00:11:50.830
"so wie gestern in pirna ist
offensichtlich wir haben eine teilweise",00:11:50.830,00:11:56.050
"aggressive stimmung die auch teilweise
gewalttätig ist auch gegenüber der",00:11:56.050,00:12:01.060
"polizei
viele teilnehmer können kommunikativ gar",00:12:01.060,00:12:05.320
"nicht mehr erreicht werden
es gilt ja noch die jetzige corona",00:12:05.320,00:12:10.990
"schutzverordnung dh bis zum heutigen tag
50 personen maximal bzw bis 60 minuten",00:12:10.990,00:12:18.220
"das ist ab morgen ja wieder aufgehoben
allerdings unter den obwaltenden",00:12:18.220,00:12:22.900
"umschrift vorschriften des
gesundheitsschutzes und des hygiene",00:12:22.900,00:12:27.130
"schutzes abstand bzw
mundschutz aber nochmal auf die",00:12:27.130,00:12:31.720
"veranstaltungen und die versammlung zu
sprechen zu kommen wir haben vielfach",00:12:31.720,00:12:35.200
"teilnehmer ohne mundschutz wir haben
keinen versammlungsleiter der",00:12:35.200,00:12:39.520
"ansprechbar ist und die mindest
abschalte werden nicht eingehalten und",00:12:39.520,00:12:44.140
"zwar bewusst auch aus provokativen
gründen noch mal auf die versorgungslage",00:12:44.140,00:12:48.880
"von gestern zu sprechen zu kommen in
pirna",00:12:48.880,00:12:51.190
"der sachverhalt ist dort das sich gegen
19 uhr etwa 200 personen auf dem markt",00:12:51.190,00:12:55.720
"in pirna eingefunden haben und gemeinsam
durch die innenstadt gelaufen sind",00:12:55.720,00:13:01.180
"die einsatzkräfte haben versucht diese
unerlaubte ansammlung zu stoppen und sie",00:13:01.180,00:13:05.589
"anzusprechen
daraufhin schoben die personen die",00:13:05.589,00:13:09.040
"polizeibeamten beiseite und drängten
sich an diesen vorbei und als die",00:13:09.040,00:13:14.110
"beamten wenig später die gruppe erneut
anhalten ansprechen wollte attackierte",00:13:14.110,00:13:17.860
"etwa eine gruppe von 30 gewaltbereiten
hooligans die spitze der einsatz",00:13:17.860,00:13:25.720
"und ein polizeibeamter ist dabei
verletzt wurden",00:13:25.720,00:13:30.240
"lassen sie sich nicht klar zu sagen
gewalt hat nichts mehr mit legitimen",00:13:30.240,00:13:35.680
"protests und versammlungen zu tun
dieser ist klar zu verurteilen und die",00:13:35.680,00:13:42.610
"polizei wird hier auch einschreiten und
durchgreifen und in pirna laufen acht",00:13:42.610,00:13:49.089
"strafverfahren davon ein
landfriedensbruch und einer wegen",00:13:49.089,00:13:53.620
"tätlichen angriffs auf vollzugsbeamte
drei wegen widerstands und drei weitere",00:13:53.620,00:13:59.079
"wegen beleidigung zur bewertung
ich bin froh dass wir jetzt wieder auf",00:13:59.079,00:14:06.579
"dem boden des versammlungsrechtes sind
und keine obergrenze haben was die",00:14:06.579,00:14:10.660
"anzahl betrifft was auch die begrenzung
betrifft dass es ein hohes gut was auch",00:14:10.660,00:14:14.620
"verfassungsmäßig geschützt ist es wird
im übrigen auch von einsatzbeamten der",00:14:14.620,00:14:18.879
"polizei geschützt dass sie das auch
ausüben kann",00:14:18.879,00:14:21.910
"die voraussetzung ist dass es friedlich
und rechtsstaatlich zugeht das ist wie",00:14:21.910,00:14:28.060
"wir gesehen haben nicht immer der fall
und deswegen stehen auch die",00:14:28.060,00:14:31.689
"organisatoren auch die veranstalter und
die versammlungsteilnehmer in der",00:14:31.689,00:14:36.370
"verantwortung darauf zu achten dass die
gruppen nicht vermischt werden dass",00:14:36.370,00:14:40.870
"diese versammlungen nicht dazu genutzt
werden gewalttätig zu werden oder auch",00:14:40.870,00:14:44.980
"verfassungsfeindliche ziele zu verfolgen
und dann ist klar zu sagen wenn sie auf",00:14:44.980,00:14:49.720
"einer solchen protestveranstaltung sind
wo gewalt ausgeübt wird",00:14:49.720,00:14:54.529
"wo verfassungsfeindliche ziele versucht
werden zu erreichen",00:14:54.529,00:14:58.519
"dann befinden sie sich auf der falschen
veranstaltung und sollten sie sich klar",00:14:58.519,00:15:02.870
"davon distanzieren
soweit meine mein bericht noch mal",00:15:02.870,00:15:09.620
"nachrichtlich also diese besagten acht
strafverfahren werden von der",00:15:09.620,00:15:14.269
"polizeidirektion in dresden von der
ermittlungsgruppe corona geführt und",00:15:14.269,00:15:19.939
"dann auch hoffentlich erfolgreich zum
abschluss gebracht",00:15:19.939,00:15:21.889
"vielen dank dankeschön
ich gehe in die fragen über erste frage",00:15:21.889,00:15:27.920
"kommt für michael deutschland von der
bild zeitung an den finanzminister",00:15:27.920,00:15:31.720
"während die lehrer sichersten juni
regelmäßig testen lassen können ist das",00:15:31.720,00:15:36.259
"für das pflegepersonal unter anderem in
seniorenheimen nicht möglich laut frau",00:15:36.259,00:15:40.759
"kipping hakt es hier an der finanzierung
auf bundesebene",00:15:40.759,00:15:43.790
"wie steht der finanzminister hier zu
einer kostenübernahme durch den",00:15:43.790,00:15:47.480
freistaat sachsen,00:15:47.480,00:15:50.110
"generell gilt dass wenn die dinge vom
bund übernommen werden sollen und auch",00:15:51.910,00:15:57.199
"übernommen werden können dass man das
natürlich dauert zu verändern verhandelt",00:15:57.199,00:16:02.809
"so dass die gelder vom bund kommen
wenn wir über die sächsischen",00:16:02.809,00:16:09.649
"töpfe noch mal reden wollen wir auch
sagen das ist bei uns auch langsam eng",00:16:09.649,00:16:13.550
"wird in unseren ausgaben töpfen und wir
da ein bisschen klug auch noch mal die",00:16:13.550,00:16:20.420
"dinge sortieren müssen und wirtschaften
müssen also ich sehe mich gerade ein",00:16:20.420,00:16:23.600
"bisschen zurückhalten weil ich den bund
angucke nächsten fragen gehen an den",00:16:23.600,00:16:30.949
"innenminister
erste frage von paul kollenberg freie",00:16:30.949,00:16:34.369
"presse beim corona spaziergang in pirna
ist es gestern zu angriffen gegen",00:16:34.369,00:16:38.149
"polizisten gekommen wie wird die polizei
auf die aggression reagieren und werden",00:16:38.149,00:16:42.800
"mehr polizisten eingesetzt wie ich
gerade ausgeführt haben die polizei wird",00:16:42.800,00:16:49.129
"reagieren und zwar in jedem fall und
zwar ganz klar und konsequent aber auch",00:16:49.129,00:16:54.679
"maßvoll ich hatte ja gerade ausgeführt
dass nicht jeder der protestiert jemand",00:16:54.679,00:16:59.689
"ist der mit und friedlichen absichten
kommt oder gewalt ausübt also genau da",00:16:59.689,00:17:04.250
"muss man hinschauen
das tut die polizei also wir haben ja",00:17:04.250,00:17:07.730
"auch eine reihe von seniorinnen senioren
dabei wir haben auch kinder die",00:17:07.730,00:17:11.360
"teilweise mit dabei sind also insofern
sozusagen ist die angemessenheit des",00:17:11.360,00:17:15.709
"einsatzes wichtig und zu sagen gewalt
das allerletzte mittel",00:17:15.709,00:17:20.059
"sie sehen ja dass wir dokumentieren also
es muss keiner glauben dass er sozusagen",00:17:20.059,00:17:24.409
"straffrei davon kommt die
bildmaterialien werten gefecht fertig",00:17:24.409,00:17:29.659
"die identitäten werden festgestellt und
die entsprechenden anklageschriften",00:17:29.659,00:17:33.940
"werden verfertigt also auch hier gilt
der rechtsstaat funktioniert was die am",00:17:33.940,00:17:40.659
"rande auch im deutschlandfunk fragt den
innenminister alle verwaltungsgerichte",00:17:40.659,00:17:45.129
"haben entschieden dass die unterbringung
geflüchteter in sammelunterkünften nicht",00:17:45.129,00:17:49.210
"mit hygiene auflagen vereinbar ist wie
reagiert der freistaat",00:17:49.210,00:17:54.779
"zunächst einmal ist das regime ja so
dass alle neu aufgenommene asylbewerber",00:17:56.250,00:18:02.940
"auch für kroner getestet werden sollte
sich herausstellen dass das positive",00:18:02.940,00:18:08.500
"testung der fall sind dann werden die
isoliert untergebracht die",00:18:08.500,00:18:12.129
"entsprechenden möglichkeiten haben wir
und haben wir erweitert geschaffen",00:18:12.129,00:18:16.769
"und insofern ist damit gewährleistet
dass aus die erstaufnahmeeinrichtung den",00:18:16.769,00:18:21.909
"hygiene vorschriften entsprechen
es gab diese klagen die auch wieder",00:18:21.909,00:18:26.740
"zurückgewiesen wurden sind von seiten
der landesdirektion die klar gesagt",00:18:26.740,00:18:30.519
"haben dass der gesundheitsstadt dort
eingehalten ist das sind auch mehrere",00:18:30.519,00:18:33.700
"verfahren jetzt noch ein anhängig ich
will das klare signal geben dass wir",00:18:33.700,00:18:37.870
"darauf achten selbstverständlich auch
bei jedem neu aufgenommenen fall also",00:18:37.870,00:18:42.250
"bewerber als auch bei den unterbringungs
einrichtungen das auf gesundheitsschutz",00:18:42.250,00:18:45.600
"allerhöchste priorität gelegt wird
nächste frage von isabel spärlich radio",00:18:45.600,00:18:51.610
"psr zum spaziergang in pirna nochmal
inwieweit wird nun der verfassungsschutz",00:18:51.610,00:18:57.190
"involviert der verfassungsschutz kommt
seine aufgabe nach auch im fall pirna",00:18:57.190,00:19:03.779
"beobachtet das geschehen und hatte auch
hier erkenntnisse dass also nicht nur",00:19:03.779,00:19:10.059
"die gewaltbereite hooligans zähne
sondern auch rechtsextreme und",00:19:10.059,00:19:13.899
"verfassungsfeinde unterwegs sind und
diese protestveranstaltung diese",00:19:13.899,00:19:17.500
"legitimen protest veranstaltung auch
nutzt für eigene zwecke",00:19:17.500,00:19:21.240
"es ist sorgfältig zu beobachten wie das
geschehen weiter geht und es wird auch",00:19:21.240,00:19:27.039
"entscheidend darauf ankommen dass die
veranstalter und die organisatoren aber",00:19:27.039,00:19:30.759
"auch jeder einzelne teilnehmer selbst
darauf achtet dass er nichts von solchen",00:19:30.759,00:19:35.220
"verfassungsfeindlichen
bestrebungen und auch gerade von",00:19:35.220,00:19:38.620
"rechtsextremer seite aus vereinnahmt
wird also wir schauen weiter darauf hin",00:19:38.620,00:19:43.240
"der verfassungsschutz arbeitet da und
kommt seine aufgabe nach",00:19:43.240,00:19:47.700
"insofern ist es geschehen weiter zu
beobachten",00:19:47.700,00:19:51.610
"bislang ist aber alles sagt im großen
und ganzen friedlich abgelaufen bis auf",00:19:51.610,00:19:55.840
"ganz wenige ausnahmen im golf bleibe von
der dnn fragt warum die polizei gestern",00:19:55.840,00:20:02.139
"im kölner nicht konsequenter gegen die
randalierer vorgegangen ist sie ist",00:20:02.139,00:20:07.450
"konsequent vorgang sie ist also
verhältnismäßig vorgegangen das muss ja",00:20:07.450,00:20:11.590
"auch nicht jedes mal muss es eine
sozusagen gewalt reaktionen geben nur im",00:20:11.590,00:20:18.279
"äußersten notfall das entscheidende ist
dass die straftäter aufgenommen worden",00:20:18.279,00:20:23.919
"sind
die identitäten kosten konnten",00:20:23.919,00:20:26.500
"festgestellt werden und die
entsprechenden strafverfahren laufen",00:20:26.500,00:20:30.299
"insofern ist das ziel den rechtsstaat
durchzusetzen auch in pirna gewiss",00:20:30.299,00:20:34.419
"gewährleistet torsten hilscher von der
morgenpost fragt im minister wöller bei",00:20:34.419,00:20:40.870
"den fitnessstudios herrscht unsicherheit
hinsichtlich vorgeschriebener hygiene",00:20:40.870,00:20:44.710
"konzepte
daher sind diese zwingend ja sie sind",00:20:44.710,00:20:49.809
"zwingen weil wir mit der neuen corona
schutzverordnung ja gesagt haben dass",00:20:49.809,00:20:54.130
"jede branche das gewerbe jede betroffene
einrichtung natürlich",00:20:54.130,00:20:58.510
"hygienevorschriften einhalten muss also
abstandsgebot beziehungsweise auch in",00:20:58.510,00:21:03.700
"mundschutz ist allerdings die aufgabe
natürlich der entsprechenden",00:21:03.700,00:21:07.120
"gesundheitsämter oder auch sozusagen der
branchenvertreter wie beispielsweise",00:21:07.120,00:21:10.870
"beim gaststätten- gewerbe- dehoga ihren
mitgliedern nahe zu bringen und das",00:21:10.870,00:21:15.250
"geschieht ja auch dankenswerterweise in
welcher art und weise sich präparieren",00:21:15.250,00:21:19.120
"müssen damit sie ihrem gewerbe weiter
nachgehen können im golf von der dnn",00:21:19.120,00:21:25.150
"fragt den finanzminister muss der
freistaat nicht für die finanzierung der",00:21:25.150,00:21:29.020
"tests sollen gerade in der medizin in
der pflege in der schule oder der kita",00:21:29.020,00:21:32.650
"um neue infektionswellen gerade jetzt
durch die lockerungen im freistaat zu",00:21:32.650,00:21:38.080
"vermeiden also der wir haben ja die
gespräche noch mit dem bund und die",00:21:38.080,00:21:44.320
"verhandlungen laufen ja noch mal hören
für sonder verhandlungsposition taugt es",00:21:44.320,00:21:49.150
"natürlich nichts wenn ich sage dass fall
übernehme ich das alles also der bund",00:21:49.150,00:21:53.020
"ist in der pflicht und da wird
verhandelt und ich gehe davon aus dass",00:21:53.020,00:21:56.410
"wir unsere verhandlungen mit vereinten
kräften der anna länder durchsetzen",00:21:56.410,00:21:59.650
"werden mit zwischendurch tino moritz
reihen den ich ganz herzlich begrüße von",00:21:59.650,00:22:06.160
"der freien presse als vertreter
landespressekonferenz der physik heute",00:22:06.160,00:22:10.000
"hier bei wohnt bitte danke schön ich
hätte zur nächsten frage auch an",00:22:10.000,00:22:13.620
"finanzminister herrn vorjohann sie
hatten gerade in der erste antwort",00:22:13.620,00:22:17.290
"gesagt ging es auch in die tests das ist
bei uns langsam eng wird mit den",00:22:17.290,00:22:20.830
"ausgaben der serien wir uns alle
wahrscheinlich an den landtag in diesem",00:22:20.830,00:22:24.400
"wegweisenden beschluss und ganz viel
geld was sie eigentlich früher oder",00:22:24.400,00:22:27.880
"später zur verfügung haben müssen wir
könnten sie das mit dem eng werden der",00:22:27.880,00:22:31.480
"ausgaben ein bisschen argumentativ mit
zahlen unter setzen und vielleicht auch",00:22:31.480,00:22:35.530
"schon einen kurzen einblick zum thema
steuerschätzung was sagen was sie schon",00:22:35.530,00:22:39.460
"sagen können wir haben in unserem
nachtragshaushalt und in dem cohen",00:22:39.460,00:22:49.080
"krisenbewältigung von zweieinhalb
milliarden euro auf der ausgabenseite",00:22:49.080,00:22:54.990
"festgelegt und wir haben auf der
einnahmenseite vier viereinhalb",00:22:54.990,00:22:58.690
"milliarden an wahrscheinlich zu
kompensierenden ausfällen definiert das",00:22:58.690,00:23:04.810
"heißt auf der ausgabenseite sind alle
unsere hilfen im moment bei den",00:23:04.810,00:23:07.780
